,trade_date,gvkey,weights
127,2018-06-07,DIS,0.02943330444395542
128,2018-06-07,GS,0.027034765109419823
129,2018-06-07,HD,0.027034765109419823
130,2018-06-07,IBM,0.027034765109419823
131,2018-06-07,INTC,0.027034765109419823
132,2018-06-07,JNJ,0.027034765109419823
133,2018-06-07,JPM,0.035917021334171295
134,2018-06-07,KO,0.042675986886024475
135,2018-06-07,MCD,0.027034765109419823
136,2018-06-07,MMM,0.070243701338768
137,2018-06-07,MRK,0.027034765109419823
138,2018-06-07,MSFT,0.028776362538337708
139,2018-06-07,NKE,0.027034765109419823
140,2018-06-07,PFE,0.031472355127334595
141,2018-06-07,PG,0.027034765109419823
142,2018-06-07,RTX,0.053904805332422256
143,2018-06-07,TRV,0.03185460343956947
144,2018-06-07,UNH,0.027034765109419823
